city,locality,beds,locality_bed_market_rate
Bangalore,Devanahalli,3,27.0
Bangalore,Devanahalli,4,33.0
Bangalore,Devanahalli,5,70.0
Bangalore,Devappa Layout,2,21.0
Bangalore,Devarabisanahalli,1,30.0
Bangalore,Devarabisanahalli,2,41.0
Bangalore,Devarachikkana Halli,1,15.0
Bangalore,Devarachikkana Halli,3,23.0
Bangalore,Devasthanagalu,3,33.0
Bangalore,Devinagar,1,20.0
Bangalore,Doddaballapur Main Road,1,13.0
Bangalore,Doddaballapur Main Road,2,14.0
Bangalore,Doddaballapur Main Road,3,27.5
Bangalore,Doddakallasandra,3,33.0
Bangalore,Doddakannelli,2,32.0
Bangalore,Doddakannelli,3,34.5
Bangalore,Doddakannelli,4,41.0
Bangalore,Doddanagamangala,1,11.0
Bangalore,Doddanagamangala,2,21.0
Bangalore,Doddanekundi,1,33.0
Bangalore,Doddanekundi,2,24.0
Bangalore,Doddanekundi,3,39.0
Bangalore,Doddanekundi Main Road,3,43.0
Bangalore,Doddathoguru,2,22.0
Bangalore,Dollar Scheme,3,25.0
Bangalore,Dollars Colony,2,57.0
Bangalore,Dollars Colony,3,50.0
Bangalore,Domlur,2,24.5
Bangalore,Domlur,3,46.5
Bangalore,Doopanahalli,2,37.0
Bangalore,Dooravani Nagar,2,13.5
Bangalore,ECC Road,2,34.0
Bangalore,ECC Road,3,40.0
Bangalore,ECC Road,4,46.0
Bangalore,EPIP Zone,2,34.0
Bangalore,EPIP Zone,4,78.0
Bangalore,Ejipura,2,25.5
Bangalore,Electronic City,1,18.5
Bangalore,Electronic City,2,18.0
Bangalore,Electronic City,3,27.0
Bangalore,Electronic City,4,22.0
Bangalore,Electronic City Phase 2,1,50.0
Bangalore,Electronic City Phase 2,2,20.0
Bangalore,Electronic City Phase 2,3,33.0
Bangalore,Electronic City Phase 2,4,19.0
Bangalore,Electronics City Phase 1,1,29.0
Bangalore,Electronics City Phase 1,2,34.0
Bangalore,Electronics City Phase 1,3,29.0
Bangalore,Elus Road,3,39.0
Bangalore,Ex Service Men Colony,4,11.0
Bangalore,F Block Sahakar Nagar,3,27.0
Bangalore,Frazer Town,3,24.0
Bangalore,Frazer Town,4,29.0
Bangalore,G Block Sahakar Nagar,3,64.0
Bangalore,GM Palya,2,25.0
Bangalore,Gandhi Bazar,3,35.0
Bangalore,Ganga Nagar Layout,1,163.0
Bangalore,Ganganagar,3,15.0
Bangalore,Gattahalli,2,24.0
Bangalore,Gattahalli,3,26.0
Bangalore,Gollarahatti,2,6.0
Bangalore,Gopasandra Sarjapura Road,3,80.0
Bangalore,Gottigere,2,15.0
Bangalore,Gottigere,3,24.5
Bangalore,Govindpura,2,22.0
Bangalore,Green Woods layout,2,15.0
Bangalore,Gruha Lakshmi Layout,2,18.0
Bangalore,Gubbalala,3,29.0
Bangalore,Gummanahalli,2,27.0
Bangalore,Gummanahalli,3,35.0
Bangalore,Gunjur,1,22.0
Bangalore,Gunjur,2,30.0
Bangalore,Gunjur,3,38.5
Bangalore,Gunjur,4,62.0
Bangalore,Gunjur,5,36.0
Bangalore,Gunjur Balagere Road,2,32.0
Bangalore,Gunjur Balagere Road,3,29.0
Bangalore,HAL 3rd Stage,2,33.0
Bangalore,HAL Old Airport Road,2,56.0
Bangalore,HAL Old Airport Road,4,58.0
Bangalore,HBR Layout,1,24.0
Bangalore,HBR Layout,2,34.0
Bangalore,HBR Layout,3,27.5
Bangalore,HBR Layout Block 2,2,17.0
Bangalore,HBR Layout Block 3,4,24.0
Bangalore,HMT Layout Vidyaranyapura,2,30.0
Bangalore,HRBR Layout,3,34.0
Bangalore,HRBR Layout Block 1,2,30.0
Bangalore,HSR Layout,1,47.0
Bangalore,HSR Layout,2,34.0
Bangalore,HSR Layout,3,38.0
Bangalore,HSR Layout,4,41.0
Bangalore,HSR Layout,6,12.0
Bangalore,Hadosiddapura,3,38.5
Bangalore,Halanayakanahalli,3,35.0
Bangalore,Halasuru,1,67.0
Bangalore,Halasuru,2,24.0
Bangalore,Halasuru,3,72.5
Bangalore,Hanumanthappa Layout Sivanchetti Gardens,3,77.0
Bangalore,Haralur,2,70.0
Bangalore,Haralur,3,38.0
Bangalore,Haralur,4,35.0
Bangalore,Haralur Main Road,2,30.0
Bangalore,Haralur Main Road,3,43.0
Bangalore,Haralur Main Road,4,33.0
Bangalore,Harlur,1,16.0
Bangalore,Harlur,2,53.0
Bangalore,Harsha Layout,1,11.0
Bangalore,Hebbal,1,12.0
Bangalore,Hebbal,2,26.0
Bangalore,Hebbal,3,42.5
Bangalore,Hebbal,4,63.0
Bangalore,Hebbal Kempapura,2,23.0
Bangalore,Hebbal Kempapura,5,27.0
Bangalore,Hegde Nagar,2,19.0
Bangalore,Hegde Nagar,3,38.0
Bangalore,Hennur,1,26.5
Bangalore,Hennur,2,25.0
Bangalore,Hennur,3,83.0
Bangalore,Hennur,4,67.0
Bangalore,Hennur,5,31.0
Bangalore,Hennur Bagalur Main Road,3,42.0
Bangalore,Hennur Bande Road,1,19.0
Bangalore,Hennur Main Road,1,45.0
Bangalore,Hennur Main Road,2,33.0
Bangalore,Hennur Main Road,3,34.0
Bangalore,Hennur Main Road,4,34.0
Bangalore,Hennur Main Road,5,23.0
Bangalore,Hesarghatta Road,2,12.0
Bangalore,Holiday Village Road,2,25.0
Bangalore,Hongasandra,1,15.0
Bangalore,Hoodi,2,25.0
Bangalore,Hoodi,3,27.5
Bangalore,Hoodi,4,47.0
Bangalore,Hoodi,10,35.0
Bangalore,Horamavu,1,19.5
Bangalore,Horamavu,2,16.5
Bangalore,Horamavu,3,27.5
Bangalore,Horamavu,4,31.0
Bangalore,Horamavu Main Road,2,30.0
Bangalore,Hosa Road,2,29.0
Bangalore,Hosa Road,3,38.5
Bangalore,Hosakerehalli,1,45.0
Bangalore,Hoskote,2,17.0
Bangalore,Hoskote,4,13.0
Bangalore,Hoskote,8,19.0
Bangalore,Hoskote Road,1,18.0
Bangalore,Hosur Road,1,32.0
Bangalore,Hosur Road,2,43.0
Bangalore,Hosur Road,3,47.0
Bangalore,Hoysalanagar,1,30.0
Bangalore,Hulimavu,1,13.0
Bangalore,Hulimavu,2,15.0
Bangalore,Hulimavu,3,27.0
Bangalore,Hulimavu,4,37.0
Bangalore,Hulimavu,5,29.0
Bangalore,Hunasamaranahalli,3,23.0
Bangalore,Hunasamaranahalli,5,82.0
Bangalore,Huskur,2,23.0
Bangalore,Hutchins Road,3,35.0
Bangalore,Huvinayakanahalli,3,24.0
Bangalore,ISRO Layout,2,21.0
Bangalore,ITI Layout,1,48.0
Bangalore,ITPL,1,60.0
Bangalore,ITPL,3,40.0
Bangalore,ITPL,4,40.0
Bangalore,ITPL Main Road,1,25.0
Bangalore,IVC Road,4,51.0
Bangalore,Iblur Village,2,43.0
Bangalore,Immadihalli,1,20.0
Bangalore,Indira Nagar,1,36.0
Bangalore,Indira Nagar,2,34.5
Bangalore,Indira Nagar,3,57.0
Bangalore,Indira Nagar,4,50.5
Bangalore,Indira nagar Stage 1,3,58.5
Bangalore,Indira nagar Stage 2,3,50.0
Bangalore,Indira nagar Stage 2,4,70.0
Bangalore,Infantry Road,5,30.0
Bangalore,Ittamadu Main Road,1,16.0
Bangalore,JC Nagar-Kurubarahalli,1,21.0
Bangalore,JP Nagar,1,30.0
Bangalore,JP Nagar,2,23.0
Bangalore,JP Nagar,3,30.5
Bangalore,JP Nagar,5,83.0
Bangalore,Jakkasandra Extension,2,18.0
Bangalore,Jakkur,1,27.0
Bangalore,Jakkur,2,34.5
Bangalore,Jakkur,3,41.0
Bangalore,Jakkuru Main Road,2,33.0
Bangalore,Jalahalli,2,26.0
Bangalore,Jalahalli East,2,24.0
Bangalore,Jalahalli West,2,30.0
Bangalore,Jayamahal Main Road,3,47.0
Bangalore,Jayanagar,2,34.0
Bangalore,Jayanagar,5,49.0
Bangalore,Jayanagar Housing Society Layout,3,29.0
Bangalore,Jeevan Bima Nagar,2,41.0
Bangalore,Jigani,1,13.0
Bangalore,Jigani,2,15.5
Bangalore,Jivanahalli,2,20.0
Bangalore,Judicial Layout,2,40.0
Bangalore,Judicial Layout,3,39.0
Bangalore,Judicial Layout,4,22.0
Bangalore,Junnasandra,2,35.0
Bangalore,K Channasandra,2,24.0
Bangalore,KR Puram,1,18.0
Bangalore,KR Puram,2,24.0
Bangalore,KR Puram,3,29.0
Bangalore,KR Puram,4,35.0
Bangalore,Kada Agrahara,3,21.0
Bangalore,Kadabagere,1,9.0
Bangalore,Kadubeesanahalli,1,40.0
Bangalore,Kadubeesanahalli,2,23.0
Bangalore,Kadubeesanahalli,5,51.0
Bangalore,Kadugodi,1,12.5
Bangalore,Kadugodi,2,28.0
Bangalore,Kadugodi,3,31.0
Bangalore,Kadugondanahalli,2,17.0
Bangalore,Kadugondanahalli,4,45.0
Bangalore,Kaggadasapura,1,25.0
Bangalore,Kaggadasapura,2,33.0
Bangalore,Kaggadasapura,3,23.0
Bangalore,Kaikondrahalli,2,36.0
Bangalore,Kalappa Layout,1,18.0
Bangalore,Kalena Agrahara,3,30.5
Bangalore,Kalidasa Layout,1,19.0
Bangalore,Kalyan Nagar,2,26.0
Bangalore,Kamakshipalya,1,11.0
Bangalore,Kammagondahalli,1,11.0
Bangalore,Kammanahalli,1,27.0
Bangalore,Kammanahalli,2,36.0
Bangalore,Kammanahalli,3,38.0
Bangalore,Kammasandra,2,13.0
Bangalore,Kanaka Nagar,2,50.0
Bangalore,Kanakapura,3,26.0
Bangalore,Kanakapura Road,2,37.0
Bangalore,Kanakapura Road,3,30.0
Bangalore,Kanakapura Road,4,40.0
Bangalore,Kannamangala,2,14.0
Bangalore,Kannamangala,3,31.0
