city,locality,locality_market_rate
New Delhi,Shalimar Bagh AH Block,44.0
New Delhi,Shalimar Bagh Poorvi,18.0
New Delhi,Shalimar bagh,29.0
New Delhi,Shanti Niketan,121.77777777777777
New Delhi,Shanti Vihar,50.0
New Delhi,Shastri Nagar,25.0
New Delhi,Shastri Park,24.0
New Delhi,Sheikh Sarai,33.0
New Delhi,Sheikh Sarai Phase 1,71.0
New Delhi,Sheikh Sarai Phase 2,44.0
New Delhi,Shiv Nagar,27.555555555555557
New Delhi,Shiv Nagar Extension,270.0
New Delhi,Shiv Park Kakrola,32.0
New Delhi,Shiv Vihar,15.0
New Delhi,Shivaji Nagar,7.0
New Delhi,Shivaji Park,100.0
New Delhi,Shivalik Road,64.0
New Delhi,Shreshtha Vihar,23.0
New Delhi,Shubham Enclave,21.0
New Delhi,Shyam Enclave,18.88888888888889
New Delhi,Shyam Nagar,16.0
New Delhi,Shyam Nagar Okhla,20.0
New Delhi,Shyam Vihar 2,13.0
New Delhi,Shyam Vihar Phase 1,20.0
New Delhi,Siddhartha Enclave,35.0
New Delhi,Sitapuri,16.5
New Delhi,Sitapuri Extension 2,12.0
New Delhi,Soami Nagar South,74.11111111111111
New Delhi,South Extension,45.0
New Delhi,South Extension 1,43.0
New Delhi,South Extension 2,33.0
New Delhi,Sri Niwaspuri,16.0
New Delhi,St Nagar Burari,19.5
New Delhi,Subhash Nagar,29.0
New Delhi,Sukhdev Vihar,75.0
New Delhi,Sultanpur,21.5
New Delhi,Sunder Nagar,118.0
New Delhi,Surajmal Vihar,36.0
New Delhi,Surya Enclave,32.0
New Delhi,Swasthya Vihar,26.88888888888889
New Delhi,Tagore Garden,22.0
New Delhi,Tagore Garden Extension,31.0
New Delhi,Tigri,15.0
New Delhi,Tihar Village,39.0
New Delhi,Tilak Nagar,24.0
New Delhi,Transit Camp,20.0
New Delhi,Tri Nagar,19.5
New Delhi,Trilokpuri,20.0
New Delhi,Tughlakabad Extension,20.0
New Delhi,Tyagi Colony Nangloi Extension,27.0
New Delhi,Uday Park,122.5
New Delhi,Uttam Nagar,19.0
New Delhi,Uttam Nagar East,23.5
New Delhi,Uttam Nagar Nawada,19.5
New Delhi,Uttam Nagar West,22.5
New Delhi,Uttari Pitampura,26.0
New Delhi,Vasant Kunj,44.0
New Delhi,Vasant Kunj Enclave,35.0
New Delhi,Vasant Vihar,56.5
New Delhi,Vasundhara Enclave,27.5
New Delhi,Vigyan Vihar,27.833333333333336
New Delhi,Vijay Colony Vijay Nagar,17.0
New Delhi,Vijay Nagar,37.0
New Delhi,Vijay Vihar,14.0
New Delhi,Vikas Puri Extension Part 1,17.0
New Delhi,Vikaspuri,22.0
New Delhi,Vikaspuri Block D,31.0
New Delhi,Vikaspuri Block F,27.72222222222222
New Delhi,Vikaspuri Block H,28.0
New Delhi,Vikaspuri Block J,21.0
New Delhi,Vinoba Puri,9.0
New Delhi,Vipin Garden,20.0
New Delhi,Vipin Garden Extension North Block,18.0
New Delhi,Virender Nagar,24.0
New Delhi,Vishnu Garden,20.0
New Delhi,Vishwakarma Colony,18.0
New Delhi,Vishwas Nagar,18.5
New Delhi,Vishwas Park,20.0
New Delhi,Vivek Vihar,13.0
New Delhi,Vivek Vihar Phase 1,23.5
New Delhi,Wazir Nagar,24.0
New Delhi,Wazirabad,16.5
New Delhi,Yadav Park Extension,16.0
New Delhi,Yamuna Vihar,18.5
New Delhi,Yojna Vihar,31.0
