city,locality,locality_market_rate
Bangalore,Manorayana Palya,16.0
Bangalore,Manyata Residency,37.0
Bangalore,Manyata Tech Park,40.0
Bangalore,Manyata Tech Park Road,21.0
Bangalore,Marathahalli,36.0
Bangalore,Marathahalli Sarjapur Outer Ring Road,50.0
Bangalore,Marathahalli village,33.0
Bangalore,Marenahalli - Vijaynagar,15.5
Bangalore,Margondanahalli,14.5
Bangalore,Maruthi Nagar Attiguppe,30.0
Bangalore,Maruthi Nagar Dasarahalli,35.0
Bangalore,Maruthi Nagar Yelahanka,77.5
Bangalore,Maruti Nagar,9.0
Bangalore,Matadahalli,22.0
Bangalore,Mathikere,29.0
Bangalore,Mathikere Extension,16.0
Bangalore,Mathrushree Layout Doddamuniswamy Reddy Layout,25.0
Bangalore,Mavalli,25.0
Bangalore,MedaHalli,18.5
Bangalore,Medi Agrahara,11.0
Bangalore,Meenakshi Layout Choodasandra,27.5
Bangalore,Michael Palya,24.0
Bangalore,Mico Layout,32.0
Bangalore,Mitganahalli,29.0
Bangalore,Moodalapalya,16.0
Bangalore,Mullur,25.0
Bangalore,Munikalappa Layout,27.0
Bangalore,Munireddy Layout,13.0
Bangalore,Munnekollal,30.0
Bangalore,Murugeshpalya,35.0
Bangalore,Muthanallur,37.0
Bangalore,Mylappanahalli,133.0
Bangalore,Mysore Road,17.0
Bangalore,NR Colony,18.0
Bangalore,Naganathapura,22.0
Bangalore,Nagapura,32.0
Bangalore,Nagarbhavi,11.0
Bangalore,Nagasandra,37.5
Bangalore,Nagasandra Main Road,33.0
Bangalore,Nagavara,25.0
Bangalore,Nagdevanahalli,19.0
Bangalore,Nagegowdanapalya,42.0
Bangalore,Nagondanahalli,27.0
Bangalore,Naidu Layout Electronic City,46.0
Bangalore,Nallurhalli,32.5
Bangalore,Nandi Hills,33.5
Bangalore,Nandini Layout,19.0
Bangalore,Nanjappa Layout Adugodi,26.0
Bangalore,Narayanaghatta,29.0
Bangalore,Nayandahalli,8.0
Bangalore,Neeladri Nagar,23.0
Bangalore,Neelasandra,13.0
Bangalore,Nehru Nagar,30.5
Bangalore,NelaMangala,11.0
Bangalore,New International Airport Road,30.0
Bangalore,Nisarga Nandana Layout,14.0
Bangalore,Nyanapanahalli,17.0
Bangalore,OMBR Layout,28.5
Bangalore,Old Guddadahalli,8.0
Bangalore,Old Madras Road,32.5
Bangalore,PNS Layout,31.0
Bangalore,Pai Layout Hulimavu,21.0
Bangalore,Pai Layout Mahadevapura,30.5
Bangalore,Palace Cross Road,38.0
Bangalore,Palanahalli Road,24.0
Bangalore,Panathur,49.0
Bangalore,Papareddipalya,14.5
Bangalore,Parappana Agrahara,23.0
Bangalore,Patteghar Palya Main Road,17.0
Bangalore,Peace layout,20.0
Bangalore,Phase 1 Sivagiri Township,20.0
Bangalore,Phase 1st JP Nagar,40.0
Bangalore,Phase 1st MCECHS Layout,23.0
Bangalore,Phase 2nd JP Nagar,32.0
Bangalore,Phase 3 Reliable Residency Layout,20.0
Bangalore,Phase 5 JP Nagar,25.0
Bangalore,Phase 7 JP Nagar,23.0
Bangalore,Phase 8th JP Nagar,23.0
Bangalore,Pillaganahalli,13.0
Bangalore,Pragathi Nagar,19.0
Bangalore,Prithvi layout,32.5
Bangalore,Pulkeshi Nagar,50.0
Bangalore,Puttanahalli,28.0
Bangalore,RBI Layout,17.0
Bangalore,RHCS Layout,13.0
Bangalore,RMV Extension,27.0
Bangalore,RMV Extension Stage 2,38.0
Bangalore,RPC Layout,23.0
Bangalore,RS Palya,13.0
Bangalore,RT Nagar,28.5
Bangalore,Rachenahalli,24.0
Bangalore,Rachenahalli Main Road,26.0
Bangalore,Raghuvanahalli BCMC Layout,19.0
Bangalore,Rainbow Drive,46.0
Bangalore,Rajaji Nagar,48.0
Bangalore,Rajaji Nagar Block 1,100.5
Bangalore,Rajaji Nagar Block 2,23.0
Bangalore,Rajaji Nagar Industrial Town,101.0
Bangalore,Rajajinagar Stage 2,29.0
Bangalore,Rajanukunte,68.0
Bangalore,Rajarajeshwari Nagar,18.0
Bangalore,Rajarajeshwari Nagar Stage 5,45.0
Bangalore,Ramagondanahalli-Whitefield,62.0
Bangalore,Ramamurthy Nagar,24.0
Bangalore,Ramanjaneyanagar,18.0
Bangalore,Ramchandrapura,11.0
Bangalore,Rayasandra,23.5
Bangalore,Rayasandra Main Road,31.0
Bangalore,Richards Town,58.0
Bangalore,Richmond Road,79.0
Bangalore,Richmond Town,63.0
Bangalore,Ring Road,51.0
Bangalore,Royal Shelters,25.0
Bangalore,Rustam Bagh Layout,50.0
Bangalore,SG Palya,28.0
Bangalore,Sadahalli Main Road,85.0
Bangalore,Sadashiva Nagar,57.0
Bangalore,Sahakara Nagar,27.0
Bangalore,Samethanahalli,48.0
Bangalore,Sampigehalli,57.5
Bangalore,Sanjayanagara,48.0
Bangalore,Sannatammanahalli,21.0
Bangalore,Sarjapur,21.0
Bangalore,Sarjapur Road,37.0
Bangalore,Sarjapura Attibele Road,17.0
Bangalore,Sathanur,25.0
Bangalore,Sathya Sai Layout,27.0
Bangalore,Sector 1 HSR Layout,49.5
Bangalore,Sector 11 New Thippasandra,30.0
Bangalore,Sector 2 HSR Layout,41.0
Bangalore,Sector 3 HSR Layout,35.0
Bangalore,Sector 4 HSR Layout,37.5
Bangalore,Sector 5 HSR Layout,33.0
Bangalore,Sector 6 HSR Layout,46.0
Bangalore,Seegehalli,37.5
Bangalore,Seegehalli KR Puram,14.0
Bangalore,Seegehalli Kannamangala Road,17.0
Bangalore,Seegehalli Road,21.0
Bangalore,Shanthala Nagar,38.0
Bangalore,Shanti Nagar,36.0
Bangalore,Siddapur,19.0
Bangalore,Silicon Town,19.0
Bangalore,Silver County Road,17.0
Bangalore,Silver Oak Layout,28.0
Bangalore,Sindhi Colony,97.0
Bangalore,Singapura,12.0
Bangalore,Singasandra,24.0
Bangalore,Sir M Visvesvaraya Inst Road,57.0
